,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,마니커,"1,275","1,290","1,215",-60,-4.49%,905.49K,11월 29일,
,LG디스플레이,"14,500","14,650","14,400",-150,-1.02%,902.55K,11월 29일,
,하나금융지주,"43,750","44,000","41,750",1900,4.54%,900.58K,11월 29일,
,한화생명,"2,425","2,435","2,360",20,0.83%,885.97K,11월 29일,
,부산주공,705,718,702,-5,-0.70%,829.22K,11월 29일,
,일동홀딩스,"32,100","34,000","31,300",-1150,-3.46%,786.52K,11월 29일,
,대우건설,"4,920","4,935","4,880",20,0.41%,786.31K,11월 29일,
,기업은행,"11,050","11,100","10,900",100,0.91%,782.17K,11월 29일,
,DGB금융지주,"7,730","7,780","7,520",150,1.98%,774.03K,11월 29일,
,NI스틸,"5,150","5,180","4,775",155,3.10%,764.53K,11월 29일,
,아모레G,"33,000","33,950","32,050",250,0.76%,751.50K,11월 29일,
,삼성엔지니어링,"24,550","24,850","24,450",-100,-0.41%,750.85K,11월 29일,
,쌍방울,383,384,378,2,0.52%,719.06K,11월 29일,
,후성,"13,250","13,300","13,000",50,0.38%,716.95K,11월 29일,
,서울식품,219,219,216,1,0.46%,713.62K,11월 29일,
,주연테크,866,875,839,1,0.12%,706.88K,11월 29일,
,제주항공,"10,600","10,700","10,100",350,3.41%,693.99K,11월 29일,
,SH에너지화학,932,933,924,1,0.11%,690.30K,11월 29일,
,사조동아원,"1,010","1,015","1,000",5,0.50%,681.64K,11월 29일,
,HJ중공업,"4,560","4,835","4,080",510,12.59%,677.16K,11월 29일,
,KEC,"2,420","2,420","2,370",25,1.04%,661.62K,11월 29일,
,KR모터스,594,597,568,20,3.48%,660.69K,11월 29일,
,조일알미늄,"2,025","2,025","1,985",25,1.25%,653.20K,11월 29일,
,태림포장,"3,345","3,430","3,290",-10,-0.30%,637.22K,11월 29일,
,한일철강,"3,360","3,675","3,170",175,5.49%,632.18K,11월 29일,
,대호에이엘,"1,615","1,620","1,550",25,1.57%,621.85K,11월 29일,
,LG전자,"93,800","94,000","91,300",600,0.64%,618.82K,11월 29일,
,도화엔지니어링,"10,000","10,150","9,730",0,0.00%,614.33K,11월 29일,
,일진전기,"5,630","5,670","5,420",110,1.99%,589.25K,11월 29일,
,현대리바트,"10,300","10,800","10,050",0,0.00%,587.06K,11월 29일,
,인바이오젠,983,990,938,27,2.82%,584.97K,11월 29일,
,KH 필룩스,951,958,939,-9,-0.94%,583.67K,11월 29일,
,메리츠화재,"43,700","46,000","42,950",250,0.58%,579.96K,11월 29일,
,이수페타시스,"6,260","6,330","6,200",20,0.32%,579.66K,11월 29일,
,현대미포조선,"84,600","84,700","81,700",800,0.95%,561.71K,11월 29일,
,세종공업,"5,660","6,100","5,410",230,4.24%,555.76K,11월 29일,
,한국토지신탁,"1,405","1,415","1,400",-5,-0.35%,552.53K,11월 29일,
,한진중공업홀딩스,"4,085","4,365","3,975",105,2.64%,545.91K,11월 29일,
,신성이엔지,"1,925","1,930","1,910",0,0.00%,531.78K,11월 29일,
,신일전자,"1,920","1,920","1,880",20,1.05%,531.74K,11월 29일,
,잇츠한불,"17,850","18,300","16,750",1100,6.57%,530.36K,11월 29일,
,애경산업,"17,200","17,350","15,650",1500,9.55%,530.14K,11월 29일,
,우리종금,778,779,766,6,0.78%,529.52K,11월 29일,
,현대건설,"40,600","40,700","39,350",1200,3.05%,518.88K,11월 29일,
,GKL,"17,100","17,300","16,200",650,3.95%,517.65K,11월 29일,
,강원랜드,"24,600","24,700","24,000",600,2.50%,507.28K,11월 29일,
,SK증권,682,683,675,5,0.74%,506.08K,11월 29일,
,쏘카,"19,050.00","19,150.00","17,400.00",1550,8.86%,505.92K,11월 29일,
,서연이화,"9,160","9,210","8,660",460,5.29%,503.14K,11월 29일,
