,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,유나이티드파슬서비스,184.25,185.19,182.25,4.34,2.41%,1.22M,0:54:07,
,월마트,153.05,153.45,152.57,-0.46,-0.30%,1.22M,0:54:01,
,포티넷,51.51,52.3,51.34,-0.57,-1.09%,1.21M,0:54:12,
,세일즈포스,152.88,154,152.52,-0.81,-0.53%,1.22M,0:54:14,
,델타항공,34.1,34.24,33.91,0.23,0.68%,1.19M,0:54:10,
,코노코필립스,126.41,126.73,125.04,2.56,2.07%,1.18M,0:54:11,
,발레로 에너지,136.25,137.35,135.28,1.41,1.05%,1.16M,0:53:55,
,프록터 앤드 갬블,145.43,146.06,145.19,-1.17,-0.80%,1.17M,0:54:07,
,갭,14.46,14.53,14.33,0.11,0.77%,1.15M,0:54:05,
,존슨앤존슨,175.74,177.26,175.55,-1.59,-0.90%,1.17M,0:54:11,
,EOG 리소시스,139.81,140.63,138.24,3.16,2.31%,1.16M,0:54:11,
,MGM 리조트 인터내셔널,35.49,35.99,35.08,0.57,1.65%,1.14M,0:54:13,
,윌리엄스 컴퍼니스,34.27,34.48,33.72,0.79,2.34%,1.11M,0:54:12,
,모더나,175.63,179,171.53,0.26,0.15%,1.12M,0:54:07,
,크로거,49.01,49.73,48.73,0.18,0.37%,1.09M,0:54:13,
,스타벅스,98.77,99.33,98.45,0.1,0.11%,1.08M,0:54:11,
,홈디포,318.19,319.98,315.91,-0.73,-0.23%,1.05M,0:54:12,
,길리어드 사이언시스,85.24,85.67,84.7,0.03,0.04%,1.04M,0:54:07,
,Generac,103.28,104.32,97.15,1.22,1.20%,1.03M,0:54:12,
,에머슨 일렉트릭,94.3,94.64,93.29,0.07,0.08%,1.02M,0:54:15,
,유나이티드헬스그룹,526.63,532.97,526.4,-5.64,-1.06%,1.03M,0:54:07,
,휴렛팩커드,29.4,29.6,29.25,0.19,0.65%,988.55K,0:54:05,
,비아트리스,11.1,11.12,11.02,0.04,0.36%,976.67K,0:54:11,
,호스트 호텔 & 리조트,18.34,18.42,18.18,0.14,0.74%,972.19K,0:54:05,
,태피스트리,37.59,37.73,37.17,1.11,3.06%,966.93K,0:54:11,
,필립스 66,109.23,110.32,108.69,1.41,1.31%,922.07K,0:54:03,
,모건 스탠리,90.96,91.1,89.7,1.07,1.19%,921.19K,0:54:11,
,Amcor PLC,12.15,12.19,12,0.17,1.38%,948.85K,0:54:14,
,어플라이드 머티어리얼즈,104.26,104.92,103.39,0.79,0.76%,886.00K,0:54:03,
,이베이,44.14,44.66,43.91,-0.19,-0.43%,879.95K,0:54:11,
,크래프트 하인즈,38.91,39.02,38.68,0.04,0.12%,866.80K,0:54:15,
,니소스,27.22,27.27,26.89,0,0.00%,866.81K,0:54:12,
,인페이즈 에너지,310.26,315.47,304.13,-1.95,-0.62%,863.65K,0:53:53,
,도미니언 에너지,59.83,60.25,59.69,-0.79,-1.31%,833.92K,0:54:02,
,보스턴사이언티픽,44.3,44.36,43.86,0.52,1.18%,829.95K,0:54:08,
,베스트바이,83.31,83.56,82.05,1.22,1.49%,825.55K,0:54:01,
,찰스 슈왑,80.64,80.83,79.81,0.81,1.02%,803.68K,0:54:10,
,IBM,146.84,147.17,145.7,0.66,0.45%,797.45K,0:54:13,
,씨게이트,52.15,52.29,51.29,-0.16,-0.31%,762.86K,0:54:13,
,유나이티드 항공,43.21,43.41,42.98,0.19,0.44%,770.42K,0:54:09,
,월그린 부츠 얼라이언스,41.12,41.21,40.63,0.31,0.75%,761.64K,0:54:03,
,몬델리즈 인터내셔널,65.86,66.06,65.61,-0.28,-0.43%,757.94K,0:54:05,
,싱크로니 파이낸셜,37.26,37.44,36.29,0.84,2.31%,761.16K,0:53:38,
,덱스컴,112.45,113.71,112.22,-0.12,-0.11%,741.09K,0:53:29,
,캐리어,43.47,43.72,43.09,0.16,0.37%,741.47K,0:54:12,
,Gen Digital,22.83,23.16,22.73,-0.2,-0.85%,733.17K,0:54:11,
,엣시,120.82,121.8,119.28,1.34,1.12%,723.33K,0:54:12,
,에버지,58.27,58.38,57.15,-0.42,-0.72%,718.05K,0:54:09,
,웨이어하우저,31.71,31.74,31.05,0.51,1.62%,713.14K,0:54:07,
,TJX 컴퍼니,79.77,80.48,79.42,-0.27,-0.33%,731.52K,0:54:09,
,CVS헬스,100.47,100.7,100.11,0.06,0.06%,711.59K,0:54:11,
,버크셔 해서웨이 B,314.56,314.89,311.35,1.29,0.41%,711.18K,0:54:00,
,서던 컴퍼니,65.51,65.64,65.03,-0.33,-0.50%,695.73K,0:54:03,
,퍼블릭 서비스 엔터프라이즈,58.15,58.25,57.51,-0.2,-0.34%,690.05K,0:53:27,
,언더아머 C,8.57,8.59,8.26,0.33,4.00%,691.67K,0:54:10,
,에드워즈라이프사이언시스,75.4,76.61,75.39,-0.38,-0.50%,679.09K,0:54:09,
,박스터 인터내셔널,55.63,55.71,54.72,0.44,0.80%,675.85K,0:54:09,
,타이슨 푸드,66.25,66.57,65.07,0.72,1.10%,668.85K,0:54:07,
,캐터필러,233.7,235.73,231.55,1.4,0.60%,661.36K,0:54:02,
,시티즌 금융 그룹,41.76,41.81,41,0.64,1.54%,662.42K,0:54:13,
,달러트리,146.12,147.94,143.86,-1.68,-1.14%,649.15K,0:54:06,
,레이시온 테크놀로지스,97.47,97.91,96.61,0.56,0.58%,647.50K,0:54:11,
,센텐,84.5,84.76,83.81,-0.42,-0.50%,645.18K,0:53:38,
,펩시코,182.4,183.42,182.29,-1.49,-0.81%,641.63K,0:53:56,
,배스&바디웍스,40.07,40.42,39.54,0.01,0.03%,624.99K,0:54:06,
,마라톤 페트롤륨,124.19,124.59,122.16,2.27,1.86%,620.74K,0:53:30,
,일라이릴리,361.54,366.11,361.04,-4.23,-1.16%,616.49K,0:54:11,
,보나도,25.43,25.52,24.7,0.66,2.64%,610.61K,0:54:08,
,뉴스 코퍼레이션,18.45,18.5,18.1,0.26,1.44%,601.55K,0:54:08,
,시저스 엔터,49.22,49.62,48.63,0.52,1.07%,584.54K,0:53:56,
,주니퍼 네트웍스,31.95,32.23,31.94,0.04,0.13%,588.36K,0:53:54,
,IPG,34.19,34.22,33.89,0.29,0.87%,584.30K,0:54:12,
,메트라이프,75.88,76,75.3,0.14,0.19%,581.19K,0:54:04,
,피프스 서드 뱅코프,36.06,36.12,35.48,0.47,1.32%,579.46K,0:54:13,
,어도비 시스템즈,326.16,329.7,325.61,-2.81,-0.85%,591.36K,0:54:11,
,콜게이트-팜올리브,76.12,76.38,75.65,-0.26,-0.34%,568.24K,0:54:04,
,PPL 코퍼레이션,29.04,29.17,28.79,-0.06,-0.21%,565.51K,0:54:03,
,사우스웨스트 항공,38.91,39.12,38.63,0.34,0.87%,564.50K,0:54:09,
,티모바일,149.19,149.55,148.58,-0.71,-0.47%,558.77K,0:54:08,
,리전스 파이낸셜,22.75,22.77,22.48,0.21,0.95%,550.49K,0:54:12,
,존슨콘트롤즈,65.84,65.96,65.29,0.01,0.01%,550.35K,0:54:06,
,애브비,158.72,159.43,158.03,0.29,0.19%,548.81K,0:54:10,
,AIG,61.56,61.67,60.64,0.82,1.36%,543.50K,0:54:10,
,유니온 퍼시픽,210.85,211.93,208.16,2.33,1.12%,537.47K,0:54:07,
,뱅크오브뉴욕 멜론,44.87,45.01,44.53,0.07,0.16%,553.12K,0:54:10,
,파이어니어 내추럴 리소시스,242.58,243.79,241.05,3.08,1.28%,531.77K,0:53:45,
,모자이크,50.79,51.39,50.44,0.53,1.05%,536.72K,0:54:11,
,얌브랜드,125.97,126.8,125.66,-0.48,-0.38%,521.43K,0:54:13,
,Live Nation,69.91,71.11,69.06,1.22,1.78%,520.03K,0:53:38,
,웰타워,68.1,68.23,66.82,1.46,2.19%,531.21K,0:54:06,
,로스 스토어스,115.67,116.9,115.31,-0.69,-0.60%,517.19K,0:54:00,
,킴코 리얼티,22.47,22.49,22.04,0.4,1.81%,513.07K,0:54:14,
,파이서브,102.61,102.75,101.75,0.85,0.84%,517.87K,0:54:08,
,패스널,50.43,51.09,50.41,-0.76,-1.48%,508.63K,0:54:12,
,오라클,81.11,81.5,81,-0.28,-0.34%,507.50K,0:54:13,
,로우스,207.9,208.65,206.68,-1.14,-0.55%,502.01K,0:54:12,
,디어,438.95,444.3,436.56,-2.26,-0.51%,502.96K,0:54:06,
,켐벨 수프,52.59,53.17,52.57,-0.34,-0.63%,496.56K,0:54:08,
,헬스피크 프로퍼티,25.36,25.36,24.74,0.54,2.18%,490.08K,0:53:54,
,CF 인더스트리,106.96,108.13,104.93,2.56,2.45%,489.61K,0:54:10,
,글로벌 페이먼트,100.04,100.6,99.32,0.27,0.27%,496.97K,0:54:08,
,AES,28.16,28.2,27.92,0.12,0.44%,483.49K,0:52:27,
,다이아몬드백 에너지,147.34,148.26,145.99,3.61,2.51%,481.65K,0:53:34,
,다나허,259.18,261.67,259,-1.98,-0.76%,464.86K,0:53:39,
