,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,어도비 시스템즈,325.78,329.7,325.61,-3.19,-0.97%,651.81K,1:04:17,
,Citi Trends,28.69,29.34,26.12,5.49,23.66%,626.78K,1:04:17,
,피프스 서드 뱅코프,35.92,36.12,35.48,0.34,0.94%,628.31K,1:04:20,
,ImmunoGen,5.045,5.115,5,-0.035,-0.69%,620.93K,1:04:22,
,로스 스토어스,115.97,116.9,115.31,-0.41,-0.35%,582.50K,1:04:17,
,Crocs,97.66,99.5,93.96,3.82,4.07%,573.99K,1:04:14,
,파이서브,102.26,102.75,101.75,0.5,0.49%,575.23K,1:04:17,
,선파워,23.93,24.1,23.39,0.3,1.27%,552.38K,1:04:17,
,패스널,50.32,51.09,50.32,-0.87,-1.70%,550.65K,1:04:18,
,Pacific Biosci,9.54,9.82,9.54,-0.18,-1.85%,529.19K,1:04:17,
,클로비스,0.336,0.343,0.321,-0.004,-1.15%,510.51K,1:03:37,
,Vaxart,1.25,1.275,1.22,0.02,1.63%,521.27K,1:03:38,
,텍사스인스트루먼트,172.47,174.29,172.47,-0.53,-0.31%,507.50K,1:04:04,
,Geron Corp,2.33,2.37,2.3,0.04,1.75%,497.54K,1:04:16,
,Veru,5.47,5.52,5.382,0.05,0.92%,474.46K,1:04:16,
,퍼스트 솔라,165.18,167.79,165.15,-0.44,-0.27%,471.87K,1:04:18,
,코스트코 홀세일,531.39,533.64,528.62,0.47,0.09%,473.40K,1:04:21,
,아메리칸 일렉트릭 파워,94.6,94.88,94.01,-0.62,-0.65%,464.25K,1:04:15,
,아나로그디바이스,163.79,165,163.03,-0.22,-0.13%,461.83K,1:04:19,
,바이오크리스트,12.41,12.57,12.15,0.15,1.26%,453.61K,1:03:56,
,마이크로칩 테크,74,74.94,73.99,-0.34,-0.45%,465.68K,1:04:06,
,Neogen Corp,15.52,15.61,15.12,0.28,1.84%,448.48K,1:04:17,
,NY Mortgage,2.735,2.74,2.685,0.015,0.55%,442.63K,1:04:09,
,하니웰,216.62,217.42,215.32,0.85,0.40%,437.89K,1:04:02,
,루오쿵 테크,0.177,0.187,0.17,0.004,2.02%,436.96K,1:04:16,
,Option Care Health,28.92,28.98,28.64,0.16,0.55%,438.43K,1:03:13,
,LHC Group,165.27,167.6,163.9,-2.53,-1.51%,432.12K,1:03:40,
,엑셀 에너지,68.86,69.23,68.25,-0.53,-0.76%,402.14K,1:04:13,
,익스피다이터스,112.37,114.03,112.37,0.74,0.66%,404.03K,1:04:17,
,클린 에너지,6.31,6.36,6.15,0.16,2.62%,399.13K,1:04:19,
,오버스톡,25.24,25.72,24.83,0.54,2.19%,395.65K,1:04:08,
,익스피디아,102,102.57,99.77,2.35,2.36%,398.13K,1:04:17,
,그리폴스,7.8,7.86,7.73,-0.11,-1.39%,388.68K,1:04:05,
,코그니전트 테크놀로지 솔루션 A,60.01,60.52,59.92,-0.09,-0.15%,395.17K,1:04:19,
,골라LNG,24.91,25.15,24.68,0.6,2.47%,380.77K,1:04:02,
,카사바,35.25,36.19,33.74,1.34,3.95%,381.08K,1:04:15,
